description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Backup VMs with Azure Backup service,azure-resources/Compute/virtualMachines/recommendations.yaml,1981f704-97b9-b645-9c57-33f8ded9261a,True,"[{'name': 'What is the Azure Backup service?', 'url': 'https://learn.microsoft.com/azure/backup/backup-overview'}]","Enable backups for your virtual machines with Azure Backup to secure and quickly recover your data. This service offers simple, secure, and cost-effective solutions for backing up and recovering data from the Microsoft Azure cloud.
",True,Secure data recovery and backup,DisasterRecovery,Medium,Active,Microsoft.Compute/virtualMachines,651c7925-17a3-42e5-85cd-73bd095cf27f,[]
Enable Accelerated Networking (AccelNet),azure-resources/Compute/virtualMachines/recommendations.yaml,dfedbeb1-1519-fc47-86a5-52f96cf07105,True,"[{'name': 'Accelerated Networking (AccelNet) overview', 'url': 'https://learn.microsoft.com/azure/virtual-network/accelerated-networking-overview'}]","Accelerated networking enables SR-IOV to a VM, greatly improving its networking performance by bypassing the host from the data path, which reduces latency, jitter, and CPU utilization for demanding network workloads on supported VM types.
",True,"Reduces latency, jitter and CPU use",Scalability,Medium,Active,Microsoft.Compute/virtualMachines,,[]
"When AccelNet is enabled, you must manually update the GuestOS NIC driver",azure-resources/Compute/virtualMachines/recommendations.yaml,73d1bb04-7d3e-0d47-bc0d-63afe773b5fe,True,"[{'name': 'Accelerated Networking (AccelNet) overview', 'url': 'https://learn.microsoft.com/azure/virtual-network/accelerated-networking-overview'}]","When Accelerated Networking is enabled, the default Azure VNet interface in GuestOS is swapped for a Mellanox, and its driver comes from a 3rd party. Marketplace images have the latest Mellanox drivers, but post-deployment, updating the driver is the user's responsibility.
",True,Enhanced VM network efficiency,OtherBestPractices,Low,Active,Microsoft.Compute/virtualMachines,,[]
IP Forwarding should only be enabled for Network Virtual Appliances,azure-resources/Compute/virtualMachines/recommendations.yaml,41a22a5e-5e08-9647-92d0-2ffe9ef1bdad,True,"[{'name': 'Enable or disable IP forwarding', 'url': 'https://learn.microsoft.com/azure/virtual-network/virtual-network-network-interface?tabs=network-interface-portal#enable-or-disable-ip-forwarding'}]","IP forwarding allows a virtual machine network interface to receive and send network traffic not destined for or originating from its assigned IP addresses.
",True,Enhances network appliance function,OtherBestPractices,Medium,Active,Microsoft.Compute/virtualMachines,,[]
Network access to the VM disk should be set to Disable public access and enable private access,azure-resources/Compute/virtualMachines/recommendations.yaml,70b1d2be-e6c4-b54e-9959-b1b690f9e485,True,"[{'name': 'Restrict import/export access for managed disks using Azure Private Link', 'url': 'https://learn.microsoft.com/azure/virtual-machines/disks-enable-private-links-for-import-export-portal'}]","Recommended changing to ""Disable public access and enable private access"" and creating a Private Endpoint to improve security by restricting direct public access and ensuring connections are made privately, enhancing data protection and minimizing potential external threats.
",True,Enhances VM security and privacy,Security,Low,Disabled,Microsoft.Compute/virtualMachines,,[]
Enable VM Insights,azure-resources/Compute/virtualMachines/recommendations.yaml,b72214bb-e879-5f4b-b9cd-642db84f36f4,True,"[{'name': 'Overview of VM insights', 'url': 'https://learn.microsoft.com/azure/azure-monitor/vm/vminsights-overview'}]","VM Insights monitors VM and scale set performance, health, running processes, and dependencies. It enhances the predictability of application performance and availability by pinpointing performance bottlenecks and network issues, and it clarifies if problems are related to other dependencies.
",True,Improves VM performance and health,MonitoringAndAlerting,Low,Active,Microsoft.Compute/virtualMachines,,[]
Use maintenance configurations for the Dedicated and/or Isolated VM SKUs,azure-resources/Compute/virtualMachines/recommendations.yaml,52ab9e5c-eec0-3148-8bd7-b6dd9e1be870,True,"[{'name': 'Use maintenance configurations to control and manage the VM updates', 'url': 'https://learn.microsoft.com/azure/virtual-machines/maintenance-configurations'}]","The maintenance configuration settings let users schedule and manage updates, making sure the updates or interruptions on the VM are performed within a planned timeframe.
",True,Scheduled updates for VMs,HighAvailability,Medium,Active,Microsoft.Compute/virtualMachines,,[]
Don't use A or B-Series VMs for production needing constant full CPU performance,azure-resources/Compute/virtualMachines/recommendations.yaml,3201dba8-d1da-4826-98a4-104066545170,True,"[{'name': 'B-series burstable virtual machine sizes', 'url': 'https://learn.microsoft.com/azure/virtual-machines/sizes-b-series-burstable'}]","A-series VMs are tailored for entry-level workloads like development and testing, including use cases such as development and test servers, low traffic web servers, and small to medium databases.
",True,Ensures full CPU usage for heavy tasks,Scalability,High,Active,Microsoft.Compute/virtualMachines,7f71b153-c0b7-4e99-a23e-db8179183ec9,[]
Mission Critical Workloads should consider using Premium or Ultra Disks,azure-resources/Compute/virtualMachines/recommendations.yaml,df0ff862-814d-45a3-95e4-4fad5a244ba6,True,"[{'name': 'Disk type comparison and decision tree', 'url': 'https://learn.microsoft.com/azure/virtual-machines/disks-types#disk-type-comparison'}]","Compared to Standard HDD and SSD, Premium SSD, SSD v2, and Ultra Disks offer improved performance, configurability, and higher single-instance VM uptime SLAs. The lowest SLA of all disks on a VM applies, so it is best to use Premium or Ultra Disks for the highest uptime SLA.
",True,"Enhanced performance, cost efficiency, and uptime SLA",Scalability,High,Active,Microsoft.Compute/virtualMachines,58d6648d-32e8-4346-827c-4f288dd8ca24,[]
Use Azure Boost VMs for Maintenance sensitive workload VMs,azure-resources/Compute/virtualMachines/recommendations.yaml,9ab499d8-8844-424d-a2d4-8f53690eb8f8,False,"[{'name': 'Microsoft Azure Boost', 'url': 'https://learn.microsoft.com/azure/azure-boost/overview'}]","If the workload is Maintenance sensitive, consider Azure Boost compatible VMs. Azure Boost is designed to lessen the impact on customers when Azure maintenance activities occur on the host.
",True,Less maintenance impact,HighAvailability,Medium,Active,Microsoft.Compute/virtualMachines,,[]
Enable Scheduled Events for Maintenance sensitive workload VMs,azure-resources/Compute/virtualMachines/recommendations.yaml,2de8fa5e-14f4-4c4c-857f-1520f87a629f,False,"[{'name': 'Monitor scheduled events for your Azure VMs', 'url': 'https://learn.microsoft.com/azure/virtual-machines/windows/scheduled-event-service'}]","If your workload is Maintenance sensitive, enable Scheduled Events. This Azure Metadata Service lets your app prepare for virtual machine maintenance by providing information on upcoming events like reboots, reducing disruptions.
",True,Minimize downtime for VMs,HighAvailability,Medium,Active,Microsoft.Compute/virtualMachines,,[]
Reserve Compute Capacity for critical workloads,azure-resources/Compute/virtualMachines/recommendations.yaml,302fda08-ee65-4fbe-a916-6dc0b33169c4,True,"[{'name': 'On-demand Capacity Reservation', 'url': 'https://aka.ms/on-demand-capacity-reservations-docs'}]","Azure Capacity Reservations ensure high availability for virtual machines by reserving compute capacity in advance within a specific region or availability zone. This guarantees that VMs will have the necessary resources during peak demand or maintenance events, enhancing reliability and uptime.
",True,Guaranteed capacity in constrained regions/zones,HighAvailability,High,Active,Microsoft.Compute/virtualMachines,1670c0af-6536-4cbf-872f-152c91a51a80,[]
Update the Azure Linux VM Agent,azure-resources/Compute/virtualMachines/recommendations.yaml,5f7e8a12-3c4f-456b-919c-2e9adff98c38,False,"[{'name': 'How to update the Azure Linux Agent on a VM', 'url': 'https://learn.microsoft.com/azure/virtual-machines/extensions/update-linux-agent?tabs=ubuntu'}]","If you've installed the Azure Linux Agent or are using an endorsed distribution image, ensure your agent version is up-to-date. Some Linux distributions may disable auto-update or use older agent versions.
",True,Reduces complications with VM provisioning,HighAvailability,Medium,Disabled,Microsoft.Compute/virtualMachines,,[]
Reserve Compute Capacity in Disaster Recovery Regions,azure-resources/Compute/virtualMachines/recommendations.yaml,587ca3e4-113b-4c4f-b4e0-92cd8d2065b6,False,"[{'name': 'On-demand Capacity Reservation', 'url': 'https://aka.ms/on-demand-capacity-reservations-docs'}]","On-Demand Capacity Reservations ensure recovery of virtual machines in the event of a natural disaster by reserving compute capacity in advance within a specific region or zone. This guarantees that VMs have the necessary resources during disaster recovery failover events thus reducing downtime.
",True,Guaranteed capacity in disaster recovery regions,DisasterRecovery,Medium,Active,Microsoft.Compute/virtualMachines,,[]
Use Premium tier for critical production workloads,azure-resources/ContainerRegistry/registries/recommendations.yaml,eb005943-40a8-194b-9db2-474d430046b7,True,"[{'name': 'Container Registry Best Practices', 'url': 'https://learn.microsoft.com/azure/container-registry/container-registry-best-practices'}]","Choose a service tier of Azure Container Registry to meet your performance needs. Premium offers the most bandwidth and highest rate of read and write operations for high-volume deployments. Use Basic to start, Standard for production, and Premium for hyper-scale performance and geo-replication.
",False,High-volume support and geo-replication,HighAvailability,High,Active,Microsoft.ContainerRegistry/registries,af0cdbce-c610-499b-9bd7-b169cdb1bb2e,[]
Enable zone redundancy,azure-resources/ContainerRegistry/registries/recommendations.yaml,63491f70-22e4-3b4a-8b0c-845450e46fac,True,"[{'name': 'Registry best practices - Enable zone redundancy', 'url': 'https://learn.microsoft.com/azure/container-registry/zone-redundancy?toc=%2Fazure%2Freliability%2Ftoc.json&bc=%2Fazure%2Freliability%2Fbreadcrumb%2Ftoc.json&branch=main'}]","Azure Container Registry's optional zone redundancy enhances resiliency and high availability for registries or replication resources in a specific region by distributing resources across multiple zones.
",False,Enhances resiliency and high availability,HighAvailability,Medium,Active,Microsoft.ContainerRegistry/registries,,[]
Create container registries with geo-replication enabled,azure-resources/ContainerRegistry/registries/recommendations.yaml,36ea6c09-ef6e-d743-9cfb-bd0c928a430b,True,"[{'name': 'Registry best practices - Enable geo-replication', 'url': 'https://learn.microsoft.com/azure/container-registry/container-registry-best-practices#geo-replicate-multi-region-deployments'}]","Use Azure Container Registry's geo-replication for multi-region deployments to simplify registry management and minimize latency. It enables serving global customers from local data centers and supports distributed development teams. Regional webhooks can notify of events in replicas.
",False,"Simplifies management, reduces latency",DisasterRecovery,High,Active,Microsoft.ContainerRegistry/registries,,[]
Use Repository namespaces,azure-resources/ContainerRegistry/registries/recommendations.yaml,a5a0101a-a240-8742-90ba-81dbde9a0c0c,False,"[{'name': 'Registry best practices - use repository namespaces', 'url': 'https://learn.microsoft.com/azure/container-registry/container-registry-best-practices#repository-namespaces'}]","Using repository namespaces allows a single registry to be shared across multiple groups and deployments within an organization, supporting nested namespaces for group isolation. However, repositories are managed independently, not hierarchically.
",False,Enables sharing and group isolation,OtherBestPractices,Medium,Active,Microsoft.ContainerRegistry/registries,,[]
Move Container Registry to a dedicated resource group,azure-resources/ContainerRegistry/registries/recommendations.yaml,8e389532-5db5-7e4c-9d4d-443b3e55ae82,True,"[{'name': 'Registry best practices - Use dedicated resource group', 'url': 'https://learn.microsoft.com/azure/container-registry/container-registry-best-practices#dedicated-resource-group'}]","Container registries, used across multiple hosts, should be in their own resource group to prevent accidental deletion of images when container instances are deleted, preserving the image collection while experimenting with hosts.
",False,Safeguards image collection,Governance,Low,Disabled,Microsoft.ContainerRegistry/registries,,[]
Manage registry size,azure-resources/ContainerRegistry/registries/recommendations.yaml,3ef86f16-f65b-c645-9901-7830d6dc3a1b,True,"[{'name': 'Registry best practices - Manage registry size', 'url': 'https://learn.microsoft.com/azure/container-registry/container-registry-best-practices#manage-registry-size'}]","The storage constraints of Azure Container Registry's service tiers align with usage scenarios: Basic for starters, Standard for production, and Premium for high-scale performance and geo-replication.
",False,"Reduce costs, optimize storage",Scalability,Medium,Disabled,Microsoft.ContainerRegistry/registries,,[]
Disable anonymous pull access,azure-resources/ContainerRegistry/registries/recommendations.yaml,03f4a7d8-c5b4-7842-8e6e-14997a34842b,True,"[{'name': 'Enable anonymous pull access', 'url': 'https://learn.microsoft.com/azure/container-registry/anonymous-pull-access#about-anonymous-pull-access'}]","By default, Azure container registry requires authentication for pull/push actions. Enabling anonymous pull access exposes all content for public read actions. This applies to all repositories, potentially allowing unrestricted access if repository-scoped tokens are used.
",False,Enhanced security and controlled access,OtherBestPractices,Medium,Active,Microsoft.ContainerRegistry/registries,,[]
Configure Diagnostic Settings for all Azure Container Registries,azure-resources/ContainerRegistry/registries/recommendations.yaml,44107155-7a32-9348-89f3-d5aa7e7c5a1d,False,"[{'name': 'Monitor Azure Container Registry - Enable diagnostic logs', 'url': 'https://learn.microsoft.com/azure/container-registry/monitor-service#collection-and-routing'}]","Resource Logs are not collected and stored until you create a diagnostic setting and route them to one or more locations.
",False,Enhanced tracking and debugging,MonitoringAndAlerting,Medium,Active,Microsoft.ContainerRegistry/registries,,[]
Monitor Azure Container Registry with Azure Monitor,azure-resources/ContainerRegistry/registries/recommendations.yaml,d594cde6-4116-d143-a64a-25f63289a2f8,False,"[{'name': 'Monitor Azure Container Registry', 'url': 'https://learn.microsoft.com/azure/container-registry/monitor-service'}]","Monitoring Azure resources using Azure Monitor enhances their availability, performance, and operation. Azure Container Registry, a full-stack monitoring service, provides features for Azure and other cloud and on-premises resources.
",False,Enhanced monitoring and operation,MonitoringAndAlerting,Medium,Active,Microsoft.ContainerRegistry/registries,,[]
Enable soft delete policy,azure-resources/ContainerRegistry/registries/recommendations.yaml,e7f0fd54-fba0-054e-9ab8-e676f2851f88,True,"[{'name': 'Enable soft delete policy', 'url': 'https://learn.microsoft.com/azure/container-registry/container-registry-soft-delete-policy'}]","Enabling soft delete preview feature in Azure Container Registry (ACR) allows for the management of deleted artifacts with a specified retention period. Users can list, filter, and restore these artifacts until automatically purged post-retention.
",False,Recovery of deleted artifacts,DisasterRecovery,Low,Active,Microsoft.ContainerRegistry/registries,,[]
Deploy AKS cluster across availability zones,azure-resources/ContainerService/managedClusters/recommendations.yaml,4f63619f-5001-439c-bacb-8de891287727,True,"[{'name': 'AKS Availability Zones', 'url': 'https://learn.microsoft.com/azure/aks/availability-zones'}]","Azure Availability Zones ensure high availability by offering independent locations within regions, equipped with their own power, cooling, and networking to ensure applications and data are protected from datacenter-level failures.
",True,Enhanced fault tolerance for AKS,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,9f3263db-b9c0-43bb-8523-6800f9f50793,[]
Isolate system and application pods,azure-resources/ContainerService/managedClusters/recommendations.yaml,5ee083cd-6ac3-4a83-8913-9549dd36cf56,True,"[{'name': 'System and user node pools', 'url': 'https://learn.microsoft.com/azure/aks/use-system-pools?tabs=azure-cli#system-and-user-node-pools'}]","AKS assigns the kubernetes.azure.com/mode: system label to nodes in system node pools signaling the preference for system pods should be scheduled there. The CriticalAddonsOnly=true:NoSchedule taint can be added to your system nodes to prohibit application pods from being scheduled on them.
",False,Enhanced reliability via pod isolation,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,,[]
Disable local accounts,azure-resources/ContainerService/managedClusters/recommendations.yaml,ca324d71-54b0-4a3e-b9e4-10e767daa9fc,True,"[{'name': 'Entra integration', 'url': 'https://learn.microsoft.com/azure/aks/concepts-identity#azure-ad-integration'}]","Local Kubernetes accounts in AKS, being non-auditable and legacy, are discouraged. Microsoft Entra's integration offers centralized management, multi-factor authentication, RBAC for detailed access, and a secure, scalable authentication system compatible with Azure and external identity providers.
",False,Enhanced security and access control,OtherBestPractices,High,Disabled,Microsoft.ContainerService/managedClusters,,[]
Configure Azure CNI networking for dynamic allocation of IPs or use CNI overlay,azure-resources/ContainerService/managedClusters/recommendations.yaml,c22db132-399b-4e7c-995d-577a60881be8,True,"[{'name': 'Configure Azure CNI networking', 'url': 'https://learn.microsoft.com/azure/aks/configure-azure-cni-dynamic-ip-allocation'}]","Azure CNI enhances cluster IP and network management, allowing dynamic IP allocation, scalable subnets, direct pod-VNET connectivity, and supports diverse network policies for pods and nodes with Azure Network Policies and Calico, optimizing network efficiency and security
",False,"Dynamic IP allocation, scalable subnets, direct VNET access",Scalability,Medium,Active,Microsoft.ContainerService/managedClusters,,[]
Enable the cluster auto-scaler on an existing cluster,azure-resources/ContainerService/managedClusters/recommendations.yaml,902c82ff-4910-4b61-942d-0d6ef7f39b67,True,"[{'name': 'Use the Cluster Autoscaler on AKS', 'url': 'https://learn.microsoft.com/azure/aks/cluster-autoscaler?tabs=azure-cli'}]","The cluster auto-scaler in AKS adjusts node counts based on pod resource needs and available capacity, enabling scaling as per demand to prevent outages.
",True,Optimizes scaling and prevents outages,Scalability,High,Active,Microsoft.ContainerService/managedClusters,,[]
Back up Azure Kubernetes Service,azure-resources/ContainerService/managedClusters/recommendations.yaml,269a9f1a-6675-460a-831e-b05a887a8c4b,True,"[{'name': 'AKS Backups', 'url': 'https://learn.microsoft.com/azure/backup/azure-kubernetes-service-cluster-backup'}]","AKS, popular for stateful apps needing backups, can now use Azure Backup to secure clusters and attached volumes through an installed Backup Extension, enabling backup and restore operations via a Backup Vault.
",True,Ensures data safety for AKS,DisasterRecovery,Low,Active,Microsoft.ContainerService/managedClusters,,[]
Use zone-redundant storage for persistent volumes when running multi-zone AKS,azure-resources/ContainerService/managedClusters/recommendations.yaml,d3111036-355d-431b-ab49-8ddad042800b,False,"[{'name': 'Availability zones overview', 'url': 'https://learn.microsoft.com/azure/reliability/availability-zones-overview?tabs=azure-cli'}]","ZRS ensures data replication across three zones, protecting against zonal outages. It's available for Azure Disks, Container Storage, Files, and Blob by setting the SKU to ZRS in storage classes, enhancing multi-zone AKS clusters from v1.29.
",True,Increases data durability and availability,HighAvailability,Medium,Active,Microsoft.ContainerService/managedClusters,,[]
Upgrade Persistent Volumes using in-tree drivers to Azure CSI drivers,azure-resources/ContainerService/managedClusters/recommendations.yaml,b002c030-72e6-4a37-8217-1cb276c43169,True,"[{'name': 'CSI Storage Drivers', 'url': 'https://learn.microsoft.com/azure/aks/csi-storage-drivers'}]","From Kubernetes 1.26, Azure Disk and Azure File in-tree drivers are deprecated in favor of CSI drivers. Existing deployments remain operational but untested; users should switch to CSI drivers for new features and SKUs.
",True,Ensures future compatibility,OtherBestPractices,High,Active,Microsoft.ContainerService/managedClusters,,[]
Implement Resource Quota to ensure that Kubernetes resources do not exceed hard resource limits,azure-resources/ContainerService/managedClusters/recommendations.yaml,9a1c17e5-c9a0-43db-b920-adaf54d1bcb7,False,"[{'name': 'Resource Quotas', 'url': 'https://kubernetes.io/docs/concepts/policy/resource-quotas/'}]","A ResourceQuota object sets limits on resource use per namespace, controlling the number and type of objects created, and the total compute resources available.
",False,Limits AKS resource usage per namespace,Scalability,Low,Disabled,Microsoft.ContainerService/managedClusters,,[]
Attach Virtual Nodes (ACI) to the AKS cluster,azure-resources/ContainerService/managedClusters/recommendations.yaml,b4639ca7-6308-429a-8b98-92f0bf9bf813,False,"[{'name': 'Virtual Nodes', 'url': 'https://learn.microsoft.com/azure/aks/virtual-nodes'}]","To rapidly scale AKS workloads, utilize virtual nodes for quick pod provisioning, unlike Kubernetes auto-scaler. For clusters with availability zones, ensure one nodepool per AZ due to persistent volumes not working across AZs, preventing auto-scaler pod creation failures if lacking access.
",False,Faster scaling with virtual nodes,Scalability,Low,Disabled,Microsoft.ContainerService/managedClusters,,[]
Update AKS tier to Standard or Premium,azure-resources/ContainerService/managedClusters/recommendations.yaml,0611251f-e70f-4243-8ddd-cfe894bec2e7,True,"[{'name': 'Pricing Tiers', 'url': 'https://learn.microsoft.com/azure/aks/free-standard-pricing-tiers'}]","Production AKS clusters require the Standard or Premium tier for a financially backed SLA and enhanced node scalability, as the free service lacks these features. Use the Premium tier for mission-critical workloads.
",True,SLA guarantee and better scalability,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,,[]
Enable AKS Monitoring,azure-resources/ContainerService/managedClusters/recommendations.yaml,dcaf8128-94bd-4d53-9235-3a0371df6b74,True,"[{'name': 'Monitor AKS', 'url': 'https://learn.microsoft.com/azure/aks/monitor-aks'}]","Azure Monitor enables real-time health and performance insights for AKS by collecting events, capturing container logs, and gathering CPU/Memory data from the Metrics API. It allows data visualization using Azure Monitor Container Insights, Prometheus, Grafana, or others.
",True,Real-time AKS health/performance insights,MonitoringAndAlerting,High,Active,Microsoft.ContainerService/managedClusters,,[]
Enable and remediate Azure Policies configured for AKS,azure-resources/ContainerService/managedClusters/recommendations.yaml,26ebaf1f-c70d-4ebd-8641-4b60a0ce0094,True,"[{'name': 'AKS Baseline - Policy Management', 'url': 'https://learn.microsoft.com/azure/architecture/reference-architectures/containers/aks/baseline-aks?toc=https%3A%2F%2Flearn.microsoft.com%2Fazure%2Faks%2Ftoc.json&bc=https%3A%2F%2Flearn.microsoft.com%2Fazure%2Fbread%2Ftoc.json#policy-management'}]","Azure Policies in AKS clusters help enforce governance best practices concerning security, authentication, provisioning, networking, and more, ensuring a robust and secure environment for operations.
",False,Enhanced AKS governance and security,OtherBestPractices,Low,Disabled,Microsoft.ContainerService/managedClusters,,[]
Enable GitOps when using DevOps frameworks,azure-resources/ContainerService/managedClusters/recommendations.yaml,5f3cbd68-692a-4121-988c-9770914859a9,True,"[{'name': 'GitOps with AKS', 'url': 'https://learn.microsoft.com/azure/architecture/guide/aks/aks-cicd-github-actions-and-gitops'}]","GitOps, an operating model for cloud-native apps, uses Git for storing application and infrastructure code as a source of truth for continuous delivery.
",False,Ensures AKS config consistency,OtherBestPractices,Low,Disabled,Microsoft.ContainerService/managedClusters,,[]
Use pod topology spread constraints to ensure that pods are spread across different nodes or zones,azure-resources/ContainerService/managedClusters/recommendations.yaml,928fcc6f-5e9a-42d9-9bd4-260af42de2e5,False,"[{'name': 'Topology Spread Constraints', 'url': 'https://kubernetes.io/docs/concepts/scheduling-eviction/topology-spread-constraints/'}]","Enhance availability and reliability by using pod topology spread constraints to control pod distribution based on node or zone topology, ensuring pods are spread across your cluster.
",True,Ensures high availability and efficient use,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,,[]
"Configures Pods Liveness, Readiness, and Startup Probes",azure-resources/ContainerService/managedClusters/recommendations.yaml,cd6791b1-c60e-4b37-ac98-9897b1e6f4b8,False,"[{'name': 'Configure probes', 'url': 'https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/'}]","AKS kubelet controller uses liveness probes to validate containers and applications health, ensuring the system knows when to restart a container based on its health status.
",True,Enhances container health monitoring,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,,[]
Use deployments with multiple replicas in production applications to guarantee availability,azure-resources/ContainerService/managedClusters/recommendations.yaml,bcfe71f1-ebed-49e5-a84a-193b81ad5d27,False,"[{'name': 'Replica Sets', 'url': 'https://kubernetes.io/docs/concepts/workloads/controllers/replicaset/'}]","Configuring multiple replicas in Pod or Deployment manifests stabilizes the number of replica Pods, ensuring that a specified number of identical Pods are always available, thereby guaranteeing their availability.
",True,Ensures stable pod availability,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,,[]
Configure system nodepool count,azure-resources/ContainerService/managedClusters/recommendations.yaml,7f7ae535-a5ba-4665-b7e0-c451dbdda01f,True,"[{'name': 'System nodepools', 'url': 'https://learn.microsoft.com/azure/aks/use-system-pools?tabs=azure-cli'}]","The system node pool should be configured with a minimum node count of three to ensure critical system pods are resilient to node outages.
",True,Ensures pod resilience,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,,[]
Configure user nodepool count,azure-resources/ContainerService/managedClusters/recommendations.yaml,005ccbbd-aeab-46ef-80bd-9bd4479412ec,True,"[{'name': 'Azure Well-Architected Framework review for Azure Kubernetes Service (AKS)', 'url': 'https://learn.microsoft.com/azure/well-architected/service-guides/azure-kubernetes-service#design-checklist'}]","Configuring the user node pool with at least two nodes is essential for applications needing high availability, ensuring they remain operational and accessible without interruption.
",True,Ensures high app availability,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,,[]
Configure pod disruption budgets (PDBs),azure-resources/ContainerService/managedClusters/recommendations.yaml,a08a06a0-e41a-4b99-83bb-69ce8bca54cb,False,"[{'name': 'Configure PDBs', 'url': 'https://kubernetes.io/docs/tasks/run-application/configure-pdb/'}]","A Pod Disruption Budget is a Kubernetes resource configuring the minimum number or percentage of pods that should remain available during disruptions like maintenance or scaling, ensuring a minimum number of pods are always available in the cluster.
",True,Ensures cluster resiliency during disruptions,HighAvailability,Medium,Active,Microsoft.ContainerService/managedClusters,,[]
Nodepool subnet size needs to accommodate maximum auto-scale settings,azure-resources/ContainerService/managedClusters/recommendations.yaml,e620fa98-7a40-41a0-bfc9-b4407297fb58,True,"[{'name': 'Azure CNI Dynamic IP Allocation', 'url': 'https://learn.microsoft.com/azure/aks/configure-azure-cni-dynamic-ip-allocation'}]","Nodepool subnets sized for max auto-scale settings enable AKS to efficiently scale out nodes, meeting increased demand while reducing resource constraints and potential service disruptions.
",False,"Efficient scaling, reduced disruptions",HighAvailability,High,Disabled,Microsoft.ContainerService/managedClusters,,[]
Subscription core quota should be increased if Node pool auto-scale settings exceed the quota,azure-resources/ContainerService/managedClusters/recommendations.yaml,a01afc4c-7439-4919-b2da-3565992ea2a7,False,"[{'name': 'Azure Quotas', 'url': 'https://learn.microsoft.com/azure/quotas/quotas-overview'}]","Node pool settings should not exceed the subscription core quota to ensure AKS can scale out nodes efficiently, meeting increased demand while reducing resource constraints and potential service disruptions.
",False,Reduced disruptions,HighAvailability,High,Active,Microsoft.ContainerService/managedClusters,,[]
Use Azure Linux for Linux nodepools,azure-resources/ContainerService/managedClusters/recommendations.yaml,f46b0d1d-56ef-4795-b98a-f6ee00cb341a,True,"[{'name': 'Azure Linux', 'url': 'https://learn.microsoft.com/azure/aks/use-azure-linux'}]","Azure Linux on AKS boosts resiliency with a native image using validated, source-built components. It's lightweight, reducing the attack surface and maintenance. A Microsoft-hardened kernel, optimized for Azure, enhances stability and security for container workloads.
",False,Reduced disruptions,HighAvailability,High,Disabled,Microsoft.ContainerService/managedClusters,,[]
Deploy at least two replicas of your application,azure-resources/ContainerService/managedClusters/recommendations.yaml,9200aca6-0e83-4749-a5eb-e3939367bdc2,False,"[{'name': 'Multi-replica apps', 'url': 'https://learn.microsoft.com/azure/aks/best-practices-app-cluster-reliability#multi-replica-applications'}]","Deploying at least two replicas of your application ensures that your application is highly available and can tolerate node failures.
",False,Ensures high app availability,HighAvailability,High,Disabled,Microsoft.ContainerService/managedClusters,,[]
Enable HA with zone redundancy,azure-resources/DBforMySQL/flexibleServers/recommendations.yaml,88856605-53d8-4bbd-a75b-4a7b14939d32,True,"[{'name': 'High availability concepts in Azure Database for MySQL - Flexible Server', 'url': 'https://learn.microsoft.com/azure/mysql/flexible-server/concepts-high-availability'}]","Enable HA with zone redundancy on flexible server instances to deploy a standby replica in a different zone, offering automatic failover capability for improved reliability and disaster recovery.
",True,Enhanced uptime and data protection,HighAvailability,High,Active,Microsoft.DBforMySQL/flexibleServers,,[]
Enable custom maintenance schedule,azure-resources/DBforMySQL/flexibleServers/recommendations.yaml,82a9a0f2-24ee-496f-9ad2-25f81710942d,True,"[{'name': 'Scheduled maintenance in Azure Database for MySQL - Flexible Server', 'url': 'https://learn.microsoft.com/azure/mysql/flexible-server/concepts-maintenance'}]","Use custom maintenance schedule on flexible server instances to select a preferred time for service updates to be applied.
",True,Control update timings,Scalability,High,Disabled,Microsoft.DBforMySQL/flexibleServers,,[]
Configure geo redundant backup storage,azure-resources/DBforMySQL/flexibleServers/recommendations.yaml,5c96afc3-7d2e-46ff-a4c7-9c32850c441b,True,"[{'name': 'Backup and restore in Azure Database for MySQL - Flexible Server', 'url': 'https://learn.microsoft.com/azure/mysql/flexible-server/concepts-backup-restore'}]","Configure GRS to ensure that your database meets its availability and durability targets even in the face of failures or disasters.
",True,Recover from regional failure and/or disaster,DisasterRecovery,High,Active,Microsoft.DBforMySQL/flexibleServers,,[]
Configure one or more read replicas,azure-resources/DBforMySQL/flexibleServers/recommendations.yaml,b49a8653-cc43-48c9-8513-a2d2e3f14dd1,True,"[{'name': 'Read replicas in Azure Database for MySQL - Flexible Server', 'url': 'https://learn.microsoft.com/azure/mysql/flexible-server/concepts-read-replicas'}]","Configure one or more read replicas to ensure that your database meets its availability and durability targets even in the face of failures or disasters.
",True,Recover from regional failure and/or disaster,DisasterRecovery,High,Active,Microsoft.DBforMySQL/flexibleServers,,[]
